commodity,country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
onion,Egypt,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23
peppers,Egypt,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23
tomato,Egypt,20,20,20,20,20,20,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,29,15,15,15,15,15
wheat,Egypt,20,20,20,20,20,20,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
onion,India,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28.5,27,25.5,24,22.5,21,19.5,18,16.5,15,15.7,21.725,27.75,21.97,16.19,10.41,27.5,24.7225,21.945,19.1675,16.39,26.815,37.24,37.24,37.24,37.24
peppers,India,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,20.68333333,31.17666667,41.67,41.67,34.5,27.33,20.16,12.99,10.55,8.11,8.11,8.11,8.11
tomato,India,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16.26666667,19.53333333,22.8,26.06666667,29.33333333,32.6,32.6,32.6,34.95,20,18.325,16.65,23.06,29.03,35,10.41,78.75,56.64,34.54,12.44,24.88,35,28.04,28.04,28.04,28.04
wheat,India,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,9.88,9.88,9.88,10.41,10.41,10.41,12.93,34.42,9.85,15.3,24.19,24.19,24.19,24.19
onion,USA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,13.5,6,6,6,6,6,6,6,6,6,6,6,6,6
peppers,USA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17.7,13.8,8,8,8,8,8,8,8,8,8,8,8,8,8
tomato,USA,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,29.4,27,15,46,15,15,15,15,15,15,15,15,15,29.5,15
wheat,USA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12.9,11.3,7,7,7,7,7,7,7,7,7,7,7,7,7
