country,commodity,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Egypt,fruits,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,
Egypt,tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,15.0,,,,
Egypt,wheat,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,14.0,,,,,,,,
India,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,,,68.85,,,,19.45,,33.96,,,
India,onion,,,,,,,,,,,,,,,30.0,,,,,,,,,,,15.7,,27.750000000000004,,,,27.5,,,,16.39,,37.239999999999995,,,
India,peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,,,41.67000000000001,,,,,12.99,,8.110000000000001,,,
India,tomato,,,,,,,,,,,,,,,13.0,,,,,,32.6,,,34.95,20.0,,16.65,23.06,,35.0,,78.74999999999999,,,12.44,24.88,35.0,28.04,,,
India,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.41,,,,,,,,,,
India,wheat,,,,,,,,,,,,,,,,,,,,,,,,4.95,,,,9.88,,,,,,12.93,34.42,9.85,15.3,24.189999999999998,,,
USA,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,8.4,,,,,,,,21.3,,,,,
USA,onion,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,18.0,13.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
USA,peppers,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,17.7,13.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
USA,tomato,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,29.4,27.0,15.0,46.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,29.5,15.0
USA,vegetables,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.9,11.3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0
