country,year,peppers,onion,tomato,wheat
India,1979,7.2973,10.2321,8.666699,1.5683
India,1980,7.3076997,9.9614,9.375,1.4355999
India,1981,7.3332996,10.561999,9.4737,1.6299
India,1982,7.7,10.3303995,9.722199,1.6912999
India,1983,7.7072997,9.9819,10,1.8158
India,1984,8.2143,11.1391,9.1304,1.8432
India,1985,8.1818,10.2021,8.8462,1.8700999
India,1986,8.4,9.658999,9.12,2.046
India,1987,8.4783,9.8566,8.1268,1.9161999
India,1988,8.808499,10.619599,13.1621,2.0019
India,1989,8.792399,10.1763,13.356,2.2444
India,1990,8.8421,10.686299,15.8587,2.1211
India,1991,8.8292,11.0878,14.6825,2.2814
India,1992,8.9583,10.7883,15.712,2.394
India,1993,9.0062,10.9116,16.129,2.3267
India,1994,8.9796,10.670899,14.0857,2.3796
India,1995,9.099999,10.608399,15.0286,2.559
India,1996,9.0385,10.346499,16.0046,2.4828
India,1997,9.0566,9.0141,17.5,2.6789
India,1998,9.0741,11.3905,15.073199,2.4852
India,1999,9.0444,9.932099,17.5957,2.5901
India,2000,9.090899,10.4913,16.152199,2.7784998
India,2001,9.021299,10.5932,15.7390995,2.7080998
India,2002,8.9971,9.911699,16.2897,2.7621
India,2003,8.9703,11.3174,15.9079,2.61
India,2004,8.9414,12.643499,16.1607,2.7131999
India,2005,8.837999,13.406099,17.4622,2.6016
India,2006,8.7928,14.123699,17.9828,2.6188
India,2007,8.748099,16.9306,16.8708,2.7079
India,2008,8.7031,16.265,18.2032,2.8021998
India,2009,8.6592,16.0788,18.6092,2.9071
India,2010,8.6173,14.2086,19.5984,2.8395
India,2011,8.5779,16.1062,19.1052,2.9886
India,2012,8.5,15.981899,20.5656,3.1775
India,2013,8.5,15.8578,20.7125,3.1538
India,2014,8.4739,16.1201,21.2418,3.1457
India,2015,8.4281,16.1355,21.3625,2.7496
India,2016,8.4664,15.856799,24.2016,3.0339
India,2017,8.4544,17.1723,25.982399,3.1999
India,2018,8.4248,18.1027,25.043098,3.3681998
India,2019,8.3892,18.7041,24.336699,3.5333998
India,2020,8.6915,18.2327,25.1222,3.4398
India,2021,8.5011,16.4046,25.0663,3.5207999
India,2022,8.5261,16.3251,24.547998,3.5372999
Belgium,2000,177.7,34.844997,240.3111,7.9198
Belgium,2001,162,26.222198,259.11108,8.0475
Belgium,2002,162,26.376999,260.4444,8.2757
Belgium,2003,170.52629,33.5714,416.6667,8.5786
Belgium,2004,170,33.6735,390.3175,8.980599
Belgium,2005,200,52.8088,414.4585,8.2733
Belgium,2006,310.3448,47.7509,458.9595,8.2549
Belgium,2007,255.31909,46.4236,451.5213,7.8908
Belgium,2008,237.6238,52.490997,481.27658,8.7585
Belgium,2009,296.7391,57.278698,523.9278,9.465199
Belgium,2010,278,50.1875,473.3472,8.8272
Belgium,2011,243,43.823498,460.83328,8.4046
Belgium,2012,255,43.823498,482.9792,8.4522
Belgium,2013,227,43.8889,499.59998,8.934899
Belgium,2014,252,48.7143,498.59998,9.4129
Belgium,2015,292.8736,44.1837,496.17648,10.0152
Belgium,2016,276,44.255497,506.9043,6.7871
Belgium,2017,276,24.6286,496.04648,8.6174
Belgium,2018,289.33328,24.6215,470.3273,8.4923
