country,year,peppers,tomato,onion,wheat,totalFoodProduced_t,totalWaterUsed_kL_by100,totalEmissions_t,totalFoodLost_t,percentageLoss
India,1979,7.2973,8.666699,10.2321,1.5683,27.764399,67.43584492,29.55925091,5.01752659,18.07179975
India,1980,7.3076997,9.375,9.9614,1.4355999,28.0796996,68.53379441,30.70142268,5.022886794,17.88796485
India,1981,7.3332996,9.4737,10.561999,1.6299,28.9988986,70.49712969,31.52662429,5.228123979,18.02869844
India,1982,7.7,9.722199,10.3303995,1.6912999,29.4438984,72.82592435,32.2209365,5.231355065,17.76719575
India,1983,7.7072997,10,9.9819,1.8158,29.5049997,74.28173814,32.82662484,5.169825939,17.52186406
India,1984,8.2143,9.1304,11.1391,1.8432,30.327,74.38625193,31.899489,5.45695757,17.99372694
India,1985,8.1818,8.8462,10.2021,1.8700999,29.1001999,73.10901669,30.86201884,5.136931365,17.65256384
India,1986,8.4,9.12,9.658999,2.046,29.224999,75.54684086,31.5545195,5.0405367,17.24734601
India,1987,8.4783,8.1268,9.8566,1.9161999,28.3778999,72.19947186,29.41524484,4.972254665,17.52157377
India,1988,8.808499,13.1621,10.619599,2.0019,34.592098,89.05061051,40.63007597,5.893632798,17.03751186
India,1989,8.792399,13.356,10.1763,2.2444,34.569099,90.89036607,41.18586947,5.796213258,16.76703595
India,1990,8.8421,15.8587,10.686299,2.1211,37.508199,97.84607246,46.5042725,6.27352514,16.72574346
India,1991,8.8292,14.6825,11.0878,2.2814,36.8809,95.62362439,44.491599,6.24768978,16.94017711
India,1992,8.9583,15.712,10.7883,2.394,37.8526,99.66324697,46.738709,6.31040377,16.67099161
India,1993,9.0062,16.129,10.9116,2.3267,38.3735,100.6836597,47.591615,6.40315343,16.68639407
India,1994,8.9796,14.0857,10.670899,2.3796,36.115799,94.84057767,43.2697225,6.365291522,17.62467313
India,1995,9.099999,15.0286,10.608399,2.559,37.295998,99.15654769,45.55460297,6.853814661,18.37680992
India,1996,9.0385,16.0046,10.346499,2.4828,37.872399,101.1452132,47.3112645,7.331327795,19.35797042
India,1997,9.0566,17.5,9.0141,2.6789,38.2496,106.1256346,50.087921,7.780523757,20.3414513
India,1998,9.0741,15.073199,11.3905,2.4852,38.022999,99.13564995,45.90927291,8.032002396,21.12406335
India,1999,9.0444,17.5957,9.932099,2.5901,39.162299,106.2794956,50.6010515,8.8717733,22.65386233
India,2000,9.090899,16.152199,10.4913,2.7784998,38.5128978,103.7600114,48.18416707,8.375318722,21.74678926
India,2001,9.021299,15.7390995,10.5932,2.7080998,38.0616983,101.9012162,47.22432311,8.091043745,21.25770553
India,2002,8.9971,16.2897,9.911699,2.7621,37.960599,103.4021921,48.1062825,8.382208925,22.08133998
India,2003,8.9703,15.9079,11.3174,2.61,38.8056,101.9628334,47.75817,5.92245857,15.26186574
India,2004,8.9414,16.1607,12.643499,2.7131999,40.4587989,103.9782606,49.09627834,5.991909673,14.80990498
India,2005,8.837999,17.4622,13.406099,2.6016,42.307898,107.0866414,51.96769897,6.849302606,16.189182
India,2006,8.7928,17.9828,14.123699,2.6188,43.518099,108.9389901,53.4176015,9.220883913,21.18861836
